,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Busselton,0,AU,1591220750,91,-33.65,115.33,6.67,2.75
1,Bluff,100,NZ,1591220750,78,-46.6,168.33,8.64,9.53
2,Westport,1,US,1591220651,73,41.14,-73.36,25.0,5.7
3,Upernavik,0,GL,1591220750,92,72.79,-56.15,-0.55,2.93
4,Pidhaytsi,66,UA,1591220751,94,49.27,25.13,6.8,2.57
5,Mataura,100,NZ,1591220751,91,-46.19,168.86,6.41,2.39
6,Haukipudas,100,FI,1591220751,76,65.18,25.35,13.0,1.0
7,Vila Velha,40,BR,1591220642,88,-20.33,-40.29,23.0,3.1
8,Klaksvík,5,FO,1591220752,87,62.23,-6.59,7.0,2.1
9,Palmer,75,US,1591220600,45,42.16,-72.33,28.0,6.7
10,Bredasdorp,91,ZA,1591220752,93,-34.53,20.04,14.0,1.0
11,Arraial do Cabo,40,BR,1591220752,88,-22.97,-42.03,23.0,2.6
12,Adrar,53,MR,1591220752,31,20.5,-10.07,31.39,5.81
13,Katsuura,100,JP,1591220753,91,35.13,140.3,21.67,1.34
14,Walvis Bay,0,NA,1591220753,30,-22.96,14.51,21.0,0.5
15,Sovetskaya Gavan',100,RU,1591220753,96,48.97,140.29,7.18,2.94
16,Trincomalee,29,LK,1591220753,75,8.57,81.23,27.74,7.85
17,Tuktoyaktuk,20,CA,1591220754,52,69.45,-133.04,6.0,5.1
18,Rawson,9,AR,1591220754,47,-43.3,-65.1,10.12,10.23
19,Chokurdakh,42,RU,1591220754,59,70.63,147.92,6.52,3.73
20,Iaciara,58,BR,1591220754,68,-14.1,-46.63,23.42,1.35
21,Port Alfred,100,ZA,1591220755,94,-33.59,26.89,16.67,0.45
22,Yakovlevka,100,RU,1591220755,87,44.42,133.48,13.85,2.21
23,Punta Arenas,75,CL,1591220756,70,-53.15,-70.92,8.0,8.2
24,Torres,7,BR,1591220756,85,-29.34,-49.73,15.19,0.31
25,Stephenville,40,US,1591220756,46,32.22,-98.2,32.0,3.41
26,Atuona,5,PF,1591220757,74,-9.8,-139.03,27.22,7.07
27,Rikitea,100,PF,1591220757,79,-23.12,-134.97,24.31,7.81
28,Ciudad del Carmen,90,MX,1591220473,94,18.63,-91.83,25.0,7.7
29,Arcata,1,US,1591220757,76,40.87,-124.08,20.56,4.6
30,Tiksi,47,RU,1591220758,88,71.69,128.87,1.06,1.53
31,Albany,79,US,1591220495,48,42.6,-73.97,26.67,0.89
32,Lagoa,0,PT,1591220758,80,39.05,-27.98,17.0,11.04
33,Yulara,0,AU,1591220619,75,-25.24,130.99,5.0,2.6
34,Hualmay,45,PE,1591220759,76,-11.1,-77.61,19.66,6.14
35,Khatanga,18,RU,1591220759,49,71.97,102.5,9.99,4.17
36,Torbay,75,CA,1591220759,58,47.67,-52.73,12.0,8.2
37,Kot Diji,0,PK,1591220759,42,27.34,68.71,31.84,1.35
38,Tasiilaq,100,GL,1591220761,60,65.61,-37.64,6.0,2.1
39,Sitka,75,US,1591220689,71,57.05,-135.33,11.0,2.28
40,Hobart,8,AU,1591220761,65,-42.88,147.33,7.0,4.6
41,Jamestown,40,US,1591220613,69,42.1,-79.24,24.44,7.2
42,Codrington,1,AU,1591220762,90,-38.27,141.97,4.63,2.35
43,Thompson,75,CA,1591220762,47,55.74,-97.86,15.0,2.6
44,Saldanha,82,ZA,1591220762,81,-33.01,17.94,12.0,1.5
45,Cape Town,88,ZA,1591220762,87,-33.93,18.42,15.0,3.1
46,Ponta do Sol,40,PT,1591220763,72,32.67,-17.1,20.0,4.1
47,Ellensburg,1,US,1591220551,20,47.0,-120.55,23.0,2.6
48,Castro,68,BR,1591220763,98,-24.79,-50.01,13.96,2.0
49,Tucupita,71,VE,1591220763,62,9.06,-62.05,29.05,3.34
50,Flin Flon,100,CA,1591220763,84,54.77,-101.86,13.14,5.35
51,Olafsvik,67,IS,1591220764,84,64.89,-23.71,8.48,2.25
